remarks: pid - pointID with point x/y/z; gid - gridcellID with 2-pt-center x/y/z; ESPG3559; dx=3;dy=4;dist=5;area=12;area_5x5 is along transect,,,,,,,,,,,,
lon_gid,lat_gid,pid,geox_m_pid,geoy_m_pid,distance_m_from0,gid,geox_m_gid,geoy_m_gid,area_m2_gid,area_5x5_gid,elevation_m_gid,topo_class
-76.54944046,38.87611088,91,439098,134352,455,91,439096.5,134350,12,25,0.450017363,high marsh
-76.54940566,38.87614678,92,439101,134356,460,92,439099.5,134354,12,25,0.480018884,high marsh
-76.54937086,38.87618268,93,439104,134360,465,93,439102.5,134358,12,25,0.480018884,high marsh
-76.54933606,38.87621858,94,439107,134364,470,94,439105.5,134362,12,25,0.537275672,high marsh
-76.54930126,38.87625448,95,439110,134368,475,95,439108.5,134366,12,25,0.537275672,high marsh
-76.54926646,38.87629038,96,439113,134372,480,96,439111.5,134370,12,25,0.537275672,high marsh
-76.54923166,38.87632628,97,439116,134376,485,97,439114.5,134374,12,25,0.409960508,high marsh
-76.54919685,38.87636218,98,439119,134380,490,98,439117.5,134378,12,25,0.409960508,high marsh
-76.54916205,38.87639807,99,439122,134384,495,99,439120.5,134382,12,25,0.390062124,high marsh
-76.54912725,38.87643397,100,439125,134388,500,100,439123.5,134386,12,25,0.390062124,high marsh
-76.54909245,38.87646987,101,439128,134392,505,101,439126.5,134390,12,25,0.390062124,high marsh
-76.54905765,38.87650577,102,439131,134396,510,102,439129.5,134394,12,25,0.477470964,low marsh
-76.54902285,38.87654167,103,439134,134400,515,103,439132.5,134398,12,25,0.477470964,low marsh
-76.54898805,38.87657757,104,439137,134404,520,104,439135.5,134402,12,25,0.418402284,ocean
-76.54895325,38.87661347,105,439140,134408,525,105,439138.5,134406,12,25,0.010256663,ocean
-76.54891845,38.87664937,106,439143,134412,530,106,439141.5,134410,12,25,0.010256663,ocean
-76.54888365,38.87668527,107,439146,134416,535,107,439144.5,134414,12,25,0.01,ocean
-76.54884885,38.87672117,108,439149,134420,540,108,439147.5,134418,12,25,0.01,ocean
-76.54881405,38.87675707,109,439152,134424,545,109,439150.5,134422,12,25,0.01,ocean
-76.54877925,38.87679297,110,439155,134428,550,110,439153.5,134426,12,25,0.01,ocean
,,,,,,,,,,, ,
